gt_idx,pred_idx,match_reason,iou,intersection_over_gt,center_distance,gt_text,pred_text,gt_points,pred_points,gt_text_norm,pred_text_norm,gt_len_chars,pred_len_chars,lev_sim,cer_sim,word_sim,chrf,end2end_lev,end2end_chrf,gt_x1,gt_y1,gt_x2,gt_y2,pred_x1,pred_y1,pred_x2,pred_y2,file,gt_json_path,pred_json_path
0,5,iou,0.35107556536127965,0.35107556536127965,59.61962764056817,HEPiEC,&lt; i&gt; Hugo Barra&lt; /i&gt; &lt; i&gt;,"[[10, -1], [269, -1], [269, 83], [10, 83]]","[[14, 1], [148, 1], [148, 58], [14, 58]]",hepiec,&lt; i&gt; hugo barra&lt; /i&gt; &lt; i&gt;,6,43,0.046511627906976716,0.046511627906976716,0.046511627906976716,0.0273224043715847,0.016329096063315323,0.009592228561783597,10.0,-1.0,269.0,83.0,14.0,1.0,148.0,58.0,pg_1.json,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
1,6,iou,0.5541375143538095,0.6486763924256023,106.3922577070343,CHAPTER 1: ROMANCE DAWN,- It was a rough dawn.,"[[284, 2], [902, 2], [902, 70], [284, 70]]","[[799, 78], [173, 60], [175, 5], [800, 23]]",chapter 1: romance dawn,- it was a rough dawn.,23,22,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.15146419992002816,0.1686505478468116,0.08393199525727288,284.0,2.0,902.0,70.0,173.0,5.0,800.0,78.0,pg_1.json,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
2,4,iou,0.1387192118226601,0.1387192118226601,42.7551166528639,NOT SURPRISINGLY THEFINAL [WORDSHE 'SPOKE BEFORE THEYLOPPED 'OFFHIS HEAD INSPIREDI ADVENTURERS THROUGHOUT THE WORLD TO [SAILTHE SEAS],I've been to people all over the world.,"[[11, 107], [221, 107], [221, 397], [11, 397]]","[[50, 156], [98, 156], [98, 332], [50, 332]]",not surprisingly thefinal [wordshe 'spoke before theylopped 'offhis head inspiredi adventurers throughout the world to [sailthe seas],i've been to people all over the world.,133,39,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.11639925618728608,0.02920404459424423,0.016146813075044217,11.0,107.0,221.0,397.0,50.0,156.0,98.0,332.0,pg_1.json,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
3,0,center_fallback,0.0,0.0,321.83303124446377,"GOLD ROGER, ITHE ITHE PIRATES, HAD ACHIEVED UTIALL",My treasure is mine.,"[[752, 116], [885, 116], [885, 348], [752, 348]]","[[648, 458], [734, 458], [734, 597], [648, 597]]","gold roger, ithe ithe pirates, had achieved utiall",my treasure is mine.,50,20,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.05303033270827566,0.0,0.0,752.0,116.0,885.0,348.0,648.0,458.0,734.0,597.0,pg_1.json,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
4,0,center_fallback,0.0,0.0,241.57452266329742,FAME IANDI POWER HADALL BEEN HIS,My treasure is mine.,"[[645, 211], [749, 211], [749, 361], [645, 361]]","[[648, 458], [734, 458], [734, 597], [648, 597]]",fame iandi power hadall been his,my treasure is mine.,32,20,0.1875,0.1875,0.1875,0.08055626084380686,0.0,0.0,645.0,211.0,749.0,361.0,648.0,458.0,734.0,597.0,pg_1.json,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
5,8,center_fallback,0.0,0.0,291.72975508165086,RRAO,it's just a matter of time.,"[[-1, 435], [535, 435], [535, 824], [-1, 824]]","[[430, 863], [440, 863], [440, 873], [430, 873]]",rrao,it's just a matter of time.,4,27,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.09868421052631579,0.0,0.0,-1.0,435.0,535.0,824.0,430.0,863.0,440.0,873.0,pg_1.json,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
6,1,iou,0.13702789043206381,0.3829787234042553,133.1859602210383,SER,It's where I've left everything in this world.,"[[559, 956], [643, 956], [643, 1144], [559, 1144]]","[[558, 1072], [721, 1072], [721, 1283], [558, 1283]]",ser,it's where i've left everything in this world.,3,46,0.06521739130434778,0.06521739130434778,0.06521739130434778,0.1349206349206349,0.0089366015499172,0.018487889978929244,559.0,956.0,643.0,1144.0,558.0,1072.0,721.0,1283.0,pg_1.json,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
7,3,iou,0.41471401542715763,0.5600982800982801,56.50884886458049,ABOUT.TO WITNESS GREATERA PIRACY!,We can replace the great pirates.,"[[24, 1158], [209, 1158], [209, 1323], [24, 1323]]","[[56, 1071], [179, 1071], [179, 1297], [56, 1297]]",about.to witness greatera piracy!,we can replace the great pirates.,33,33,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2380579036116467,0.1131038223892248,0.09872594911095725,24.0,1158.0,209.0,1323.0,56.0,1071.0,179.0,1297.0,pg_1.json,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
0,14,center_fallback,0.0013583052529843533,0.0028824833702882483,206.43279778174784,CHOMPCHOMP,I'm not sure what the hell happened.,"[[176, 0], [396, 0], [396, 82], [176, 82]]","[[370, 80], [575, 80], [575, 179], [370, 179]]",chompchomp,i'm not sure what the hell happened.,10,36,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.07142857142857141,0.00011319210441536283,9.702180378459664e-05,176.0,0.0,396.0,82.0,370.0,80.0,575.0,179.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
1,14,center_fallback,0.08508470258565788,0.14977578475336323,92.35393873571392,MUNCH MUNCA,I'm not sure what the hell happened.,"[[408, 0], [631, 0], [631, 100], [408, 100]]","[[370, 80], [575, 80], [575, 179], [370, 179]]",munch munca,i'm not sure what the hell happened.,11,36,0.13888888888888884,0.13888888888888884,0.13888888888888884,0.07142857142857141,0.01181731980356359,0.006077478756118419,408.0,0.0,631.0,100.0,370.0,80.0,575.0,179.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
